# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
FLD-MIAMI,Mint Miami,70260,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,322.00
FLD-MIAMI,Mint Miami,50000,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,519.83,0.00
FLD-MIAMI,Mint Miami,12250,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,519.83
FLD-O10615,Mint Orlando ,40001,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,"3,325.00"
FLD-O10615,Mint Orlando ,40002,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,"1,899.50",0.00
FLD-O10615,Mint Orlando ,40003,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-O10615,Mint Orlando ,40004,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-O10615,Mint Orlando ,23500,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-O10615,Mint Orlando ,10000,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,892.50,0.00
FLD-O10615,Mint Orlando ,11010,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,470.00,0.00
FLD-O10615,Mint Orlando ,70260,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,63.00
FLD-O10615,Mint Orlando ,50000,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,655.30,0.00
FLD-O10615,Mint Orlando ,12250,2026-01-06 DS - Mint Orlando : Daily Sales,00-00,2026-01-06 DS,0.00,655.30
AZD-UH,Mint Bell Road Phoenix,40001,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"30,278.01"
AZD-UH,Mint Bell Road Phoenix,40002,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,"11,086.80",0.00
AZD-UH,Mint Bell Road Phoenix,40003,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-UH,Mint Bell Road Phoenix,40004,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-UH,Mint Bell Road Phoenix,23500,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"4,561.75"
AZD-UH,Mint Bell Road Phoenix,10000,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,"23,752.33",0.00
AZD-UH,Mint Bell Road Phoenix,11010,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-UH,Mint Bell Road Phoenix,70260,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.63
AZD-UH,Mint Bell Road Phoenix,50000,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,"24,712.52",0.00
