# GL Journal Export - 2026-01-15
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:57:51.639Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
FLD-BRANDO,10000,Cash on Hand,00-00,2026-01-15 DS,483.00,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,250.00",0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,167.75,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,895.44,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,895.44,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-CAPECO,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"4,074.00",2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,091.60",0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,10000,Cash on Hand,00-00,2026-01-15 DS,"1,184.40",0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,11010,Debit Card Receivable,00-00,2026-01-15 DS,670.00,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,128.00,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,962.24,0.00,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,962.24,2026-01-15 DS - Mint Cape Coral: Daily Sales
FLD-DELRAY,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,232.00",2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,618.55",0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,10000,Cash on Hand,00-00,2026-01-15 DS,809.45,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,11010,Debit Card Receivable,00-00,2026-01-15 DS,760.00,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,44.00,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,750.98,0.00,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,750.98,2026-01-15 DS - Mint Delray Beach: Daily Sales
FLD-GAINES,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"4,280.00",2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,412.25",0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,10000,Cash on Hand,00-00,2026-01-15 DS,487.75,0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,380.00",0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,340.00",0.00,2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-GAINES,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,340.00",2026-01-15 DS - Mint Gainesville: Daily Sales
FLD-JA4332,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"4,127.00",2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,321.55",0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,10000,Cash on Hand,00-00,2026-01-15 DS,565.45,0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,240.00",0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,051.01",0.00,2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,051.01",2026-01-15 DS - Mint Jacksonville: Daily Sales
FLD-LONGWO,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,726.00",2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,208.85",0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,10000,Cash on Hand,00-00,2026-01-15 DS,477.15,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,11010,Debit Card Receivable,00-00,2026-01-15 DS,"1,040.00",0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,952.77,0.00,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-LONGWO,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,952.77,2026-01-15 DS - Mint Longwood: Daily Sales
FLD-MELBOU,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"7,480.00",2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"3,729.32",0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,10000,Cash on Hand,00-00,2026-01-15 DS,"1,387.93",0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,11010,Debit Card Receivable,00-00,2026-01-15 DS,"2,320.00",0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,42.75,0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"1,583.61",0.00,2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"1,583.61",2026-01-15 DS - Mint Melbourne: Daily Sales
FLD-MIAMI,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"2,977.00",2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,423.40",0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Miami: Daily Sales
FLD-MIAMI,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Miami: Daily Sales
